neuron_id,well,tile,condition,stimulation,timepoint,timepoint_idx,rfp1_path,halo_path,rfp1_masked_path,halo_masked_path,class_label
A4_tile3_n514,A4,3,Control,10000ms,T15,15,images/RFP1/A4_tile3_n514_T15.png,images/Halo/A4_tile3_n514_T15.png,images/RFP1_masked/A4_tile3_n514_T15.png,images/Halo_masked/A4_tile3_n514_T15.png,Control
A4_tile3_n92,A4,3,Control,10000ms,T15,15,images/RFP1/A4_tile3_n92_T15.png,images/Halo/A4_tile3_n92_T15.png,images/RFP1_masked/A4_tile3_n92_T15.png,images/Halo_masked/A4_tile3_n92_T15.png,Control
A4_tile2_n57,A4,2,Control,10000ms,T15,15,images/RFP1/A4_tile2_n57_T15.png,images/Halo/A4_tile2_n57_T15.png,images/RFP1_masked/A4_tile2_n57_T15.png,images/Halo_masked/A4_tile2_n57_T15.png,Control
A4_tile3_n112,A4,3,Control,10000ms,T15,15,images/RFP1/A4_tile3_n112_T15.png,images/Halo/A4_tile3_n112_T15.png,images/RFP1_masked/A4_tile3_n112_T15.png,images/Halo_masked/A4_tile3_n112_T15.png,Control
A4_tile3_n208,A4,3,Control,10000ms,T15,15,images/RFP1/A4_tile3_n208_T15.png,images/Halo/A4_tile3_n208_T15.png,images/RFP1_masked/A4_tile3_n208_T15.png,images/Halo_masked/A4_tile3_n208_T15.png,Control
A4_tile2_n3,A4,2,Control,10000ms,T15,15,images/RFP1/A4_tile2_n3_T15.png,images/Halo/A4_tile2_n3_T15.png,images/RFP1_masked/A4_tile2_n3_T15.png,images/Halo_masked/A4_tile2_n3_T15.png,Control
A4_tile2_n66,A4,2,Control,10000ms,T15,15,images/RFP1/A4_tile2_n66_T15.png,images/Halo/A4_tile2_n66_T15.png,images/RFP1_masked/A4_tile2_n66_T15.png,images/Halo_masked/A4_tile2_n66_T15.png,Control
A4_tile3_n101,A4,3,Control,10000ms,T15,15,images/RFP1/A4_tile3_n101_T15.png,images/Halo/A4_tile3_n101_T15.png,images/RFP1_masked/A4_tile3_n101_T15.png,images/Halo_masked/A4_tile3_n101_T15.png,Control
A4_tile3_n562,A4,3,Control,10000ms,T15,15,images/RFP1/A4_tile3_n562_T15.png,images/Halo/A4_tile3_n562_T15.png,images/RFP1_masked/A4_tile3_n562_T15.png,images/Halo_masked/A4_tile3_n562_T15.png,Control
A4_tile3_n530,A4,3,Control,10000ms,T15,15,images/RFP1/A4_tile3_n530_T15.png,images/Halo/A4_tile3_n530_T15.png,images/RFP1_masked/A4_tile3_n530_T15.png,images/Halo_masked/A4_tile3_n530_T15.png,Control
